subset,comparison,left_condition,right_condition,metric,n_pairs,mean_difference,ci_low,ci_high,permutation_p_value,wilcoxon_p_value
all,polite_minus_direct,direct,polite,mean_token_logprob,20,-0.0025223477,-0.0050861282,-0.0003876872,0.0543589128,0.0896949768
all,polite_minus_direct,direct,polite,geometric_mean_token_probability,20,-0.0021240963,-0.0042879434,-0.0002534503,0.0644587108,0.1139869690
all,polite_minus_direct,direct,polite,perplexity,20,0.0030038590,0.0005394607,0.0059294624,0.0440191196,0.0758514404
all,polite_minus_direct,direct,polite,mean_first_8_token_logprob,20,-0.0364947279,-0.0691136602,-0.0083239322,0.0346193076,0.1768531799
all,polite_minus_direct,direct,polite,mean_first_16_token_logprob,20,-0.0198135284,-0.0362353750,-0.0047208554,0.0239995200,0.0440540314
all,polite_minus_direct,direct,polite,mean_first_32_token_logprob,20,-0.0119409744,-0.0205207975,-0.0037677997,0.0135397292,0.0153121948
all,polite_minus_direct,direct,polite,mean_token_entropy,20,-0.0022480920,-0.0036191531,-0.0009245166,0.0040799184,0.0036544800
all,polite_minus_direct,direct,polite,mean_top1_top2_probability_margin,20,0.0013343234,0.0001280071,0.0025239150,0.0495790084,0.0582580566
all,polite_minus_direct,direct,polite,continuation_token_count,20,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
all,multi_turn_minus_direct,direct,multi_turn,mean_token_logprob,20,-0.3307468164,-0.3882790458,-0.2742063528,0.0000199996,0.0000019073
all,multi_turn_minus_direct,direct,multi_turn,geometric_mean_token_probability,20,-0.2373187173,-0.2761485069,-0.1990647381,0.0000199996,0.0000019073
all,multi_turn_minus_direct,direct,multi_turn,perplexity,20,0.4693191812,0.3804728855,0.5595880254,0.0000199996,0.0000019073
all,multi_turn_minus_direct,direct,multi_turn,mean_first_8_token_logprob,20,-1.3130667016,-1.7864806058,-0.8724552836,0.0000399992,0.0000190735
all,multi_turn_minus_direct,direct,multi_turn,mean_first_16_token_logprob,20,-1.1647860497,-1.5430662707,-0.7954212917,0.0000399992,0.0000095367
all,multi_turn_minus_direct,direct,multi_turn,mean_first_32_token_logprob,20,-0.8995445910,-1.0952613583,-0.7091215968,0.0000199996,0.0000019073
all,multi_turn_minus_direct,direct,multi_turn,mean_token_entropy,20,0.0806648322,0.0482917122,0.1165115755,0.0000399992,0.0000190735
all,multi_turn_minus_direct,direct,multi_turn,mean_top1_top2_probability_margin,20,-0.0331783539,-0.0497899940,-0.0179141802,0.0004599908,0.0004825592
all,multi_turn_minus_direct,direct,multi_turn,continuation_token_count,20,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_token_logprob,20,-0.0016728239,-0.0183842514,0.0164249220,0.8577228455,0.6215133667
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,geometric_mean_token_probability,20,-0.0019993648,-0.0124183216,0.0092699583,0.7310053799,0.5458755493
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,perplexity,20,0.0003454113,-0.0301676214,0.0277984433,0.9824803504,0.6215133667
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_8_token_logprob,20,-0.0871148955,-0.2562413942,0.0692409094,0.3345733085,0.5705966949
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_16_token_logprob,20,-0.0940539139,-0.1837126338,-0.0148499003,0.0464990700,0.0327682495
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_first_32_token_logprob,20,-0.0426644633,-0.1077762170,0.0226622085,0.2385152297,0.1536464691
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_token_entropy,20,-0.0012259294,-0.0099304644,0.0085791585,0.8068038639,0.3682765961
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,mean_top1_top2_probability_margin,20,0.0006482278,-0.0033414463,0.0048001674,0.7693446131,0.8123550415
all,polite_multi_turn_minus_multi_turn,multi_turn,polite_multi_turn,continuation_token_count,20,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
harmful,polite_minus_direct,direct,polite,mean_token_logprob,10,-0.0005102134,-0.0040393402,0.0019234665,0.9062500000,0.5566406250
harmful,polite_minus_direct,direct,polite,geometric_mean_token_probability,10,-0.0004405423,-0.0035759249,0.0017290479,0.9062500000,0.5566406250
harmful,polite_minus_direct,direct,polite,perplexity,10,0.0005895915,-0.0021806236,0.0044473424,0.9062500000,0.5566406250
harmful,polite_minus_direct,direct,polite,mean_first_8_token_logprob,10,-0.0295077707,-0.0770866076,0.0041681177,0.2675781250,0.3222656250
harmful,polite_minus_direct,direct,polite,mean_first_16_token_logprob,10,-0.0140689060,-0.0382625034,0.0043445781,0.2832031250,0.2753906250
harmful,polite_minus_direct,direct,polite,mean_first_32_token_logprob,10,-0.0044346872,-0.0165847398,0.0060522826,0.5312500000,0.6250000000
harmful,polite_minus_direct,direct,polite,mean_token_entropy,10,-0.0028512561,-0.0045614072,-0.0013048025,0.0078125000,0.0097656250
harmful,polite_minus_direct,direct,polite,mean_top1_top2_probability_margin,10,0.0023885736,0.0010051971,0.0038145695,0.0117187500,0.0136718750
