subset,condition,metric,n,mean,standard_deviation,ci_low,ci_high
all,direct,mean_token_logprob,20,-0.1624892944,0.0839423110,-0.2023895120,-0.1310500560
all,direct,geometric_mean_token_probability,20,0.8527127619,0.0657126379,0.8231622730,0.8777661470
all,direct,perplexity,20,1.1806276551,0.1088038040,1.1412607244,1.2344562028
all,direct,mean_first_8_token_logprob,20,-0.1429454810,0.1284360892,-0.2031913151,-0.0945186567
all,direct,mean_first_16_token_logprob,20,-0.1293557618,0.1199796906,-0.1879196989,-0.0856794268
all,direct,mean_first_32_token_logprob,20,-0.1444321425,0.1072109067,-0.1959782176,-0.1059316276
all,direct,mean_token_entropy,20,0.3456221037,0.1908949367,0.2765063864,0.4366714616
all,direct,mean_top1_top2_probability_margin,20,0.7994897691,0.0711119824,0.7667156840,0.8271697662
all,direct,continuation_token_count,20,290.2000000000,122.3664040581,240.7987500000,344.0000000000
all,polite,mean_token_logprob,20,-0.1650116421,0.0842406763,-0.2046952710,-0.1333187772
all,polite,geometric_mean_token_probability,20,0.8505886656,0.0659662948,0.8203541851,0.8761148410
all,polite,perplexity,20,1.1836315141,0.1091748236,1.1445706272,1.2360748112
all,polite,mean_first_8_token_logprob,20,-0.1794402089,0.1428966320,-0.2436290472,-0.1228112989
all,polite,mean_first_16_token_logprob,20,-0.1491692901,0.1215682417,-0.2054012069,-0.1039634861
all,polite,mean_first_32_token_logprob,20,-0.1563731169,0.1079128650,-0.2075411831,-0.1172789745
all,polite,mean_token_entropy,20,0.3433740117,0.1916539191,0.2740904016,0.4349635125
all,polite,mean_top1_top2_probability_margin,20,0.8008240925,0.0719340604,0.7681737879,0.8289278506
all,polite,continuation_token_count,20,290.2000000000,122.3664040581,241.1000000000,344.5000000000
all,multi_turn,mean_token_logprob,20,-0.4932361108,0.1267203605,-0.5466851444,-0.4384620545
all,multi_turn,geometric_mean_token_probability,20,0.6153940446,0.0799920586,0.5822842105,0.6509958604
all,multi_turn,perplexity,20,1.6499468363,0.2047307127,1.5622473480,1.7371045968
all,multi_turn,mean_first_8_token_logprob,20,-1.4560121826,1.0763279541,-1.9306138409,-1.0068884830
all,multi_turn,mean_first_16_token_logprob,20,-1.2941418115,0.8688168696,-1.6655020932,-0.9296692289
all,multi_turn,mean_first_32_token_logprob,20,-1.0439767335,0.4280262830,-1.2275176318,-0.8607187646
all,multi_turn,mean_token_entropy,20,0.4262869358,0.1952998507,0.3506596090,0.5162700776
all,multi_turn,mean_top1_top2_probability_margin,20,0.7663114152,0.0758115515,0.7319939993,0.7971773044
all,multi_turn,continuation_token_count,20,290.2000000000,122.3664040581,240.7500000000,344.6025000000
all,polite_multi_turn,mean_token_logprob,20,-0.4949089346,0.1133428585,-0.5431926191,-0.4446280319
all,polite_multi_turn,geometric_mean_token_probability,20,0.6133946799,0.0707768499,0.5850585752,0.6445901279
all,polite_multi_turn,perplexity,20,1.6502922476,0.1849288000,1.5710079776,1.7299893009
all,polite_multi_turn,mean_first_8_token_logprob,20,-1.5431270781,1.1628822976,-2.0534823668,-1.0524092672
all,polite_multi_turn,mean_first_16_token_logprob,20,-1.3881957255,0.8925691981,-1.7574230725,-1.0052322056
all,polite_multi_turn,mean_first_32_token_logprob,20,-1.0866411968,0.4516058151,-1.2802840207,-0.8911725154
all,polite_multi_turn,mean_token_entropy,20,0.4250610064,0.1971788253,0.3463885384,0.5151823716
all,polite_multi_turn,mean_top1_top2_probability_margin,20,0.7669596430,0.0766813340,0.7322014778,0.7987407895
all,polite_multi_turn,continuation_token_count,20,290.2000000000,122.3664040581,241.2950000000,345.8525000000
harmful,direct,mean_token_logprob,10,-0.1133387452,0.0225814486,-0.1265824568,-0.1004441934
harmful,direct,geometric_mean_token_probability,10,0.8930526275,0.0201024565,0.8811917326,0.9046348751
harmful,direct,perplexity,10,1.1202688175,0.0253738434,1.1059503713,1.1355148163
harmful,direct,mean_first_8_token_logprob,10,-0.0880232507,0.0513402068,-0.1188364792,-0.0590377032
harmful,direct,mean_first_16_token_logprob,10,-0.0846353506,0.0305572535,-0.1033946747,-0.0684144639
harmful,direct,mean_first_32_token_logprob,10,-0.1038265132,0.0407498291,-0.1281752130,-0.0804587680
harmful,direct,mean_token_entropy,10,0.2403155324,0.0492185148,0.2133512782,0.2701897937
harmful,direct,mean_top1_top2_probability_margin,10,0.8451071504,0.0269944249,0.8291665990,0.8608450609
harmful,direct,continuation_token_count,10,238.4000000000,69.8175399802,197.4000000000,278.9000000000
harmful,polite,mean_token_logprob,10,-0.1138489586,0.0233730591,-0.1273513912,-0.1002306970
harmful,polite,geometric_mean_token_probability,10,0.8926120852,0.0208550403,0.8806726972,0.9048506225
harmful,polite,perplexity,10,1.1208584090,0.0262035635,1.1057544936,1.1364898978
harmful,polite,mean_first_8_token_logprob,10,-0.1175310214,0.0962925107,-0.1783962063,-0.0669533084
harmful,polite,mean_first_16_token_logprob,10,-0.0987042566,0.0446043455,-0.1255545551,-0.0740662342
harmful,polite,mean_first_32_token_logprob,10,-0.1082612004,0.0396815789,-0.1321650283,-0.0862993938
harmful,polite,mean_token_entropy,10,0.2374642763,0.0492047026,0.2100553879,0.2665429470
harmful,polite,mean_top1_top2_probability_margin,10,0.8474957240,0.0276992298,0.8314268632,0.8633391327
harmful,polite,continuation_token_count,10,238.4000000000,69.8175399802,197.4000000000,278.9000000000
harmful,multi_turn,mean_token_logprob,10,-0.4603951367,0.1336956592,-0.5356518222,-0.3799296414
harmful,multi_turn,geometric_mean_token_probability,10,0.6362166955,0.0873943103,0.5876220347,0.6904159253
harmful,multi_turn,perplexity,10,1.5972638037,0.2082153808,1.4765994703,1.7177671776
harmful,multi_turn,mean_first_8_token_logprob,10,-1.2469827302,1.0952525724,-1.9135717057,-0.6258266224
harmful,multi_turn,mean_first_16_token_logprob,10,-1.3027719788,0.9009777406,-1.8171858969,-0.7582557507
harmful,multi_turn,mean_first_32_token_logprob,10,-1.1487519670,0.4205630122,-1.3900902265,-0.9045878077
harmful,multi_turn,mean_token_entropy,10,0.3007464782,0.0650586460,0.2616174495,0.3391606459
harmful,multi_turn,mean_top1_top2_probability_margin,10,0.8203038297,0.0355997688,0.7991818267,0.8409862157
harmful,multi_turn,continuation_token_count,10,238.4000000000,69.8175399802,197.6975000000,277.7000000000
harmful,polite_multi_turn,mean_token_logprob,10,-0.4513029105,0.1049127856,-0.5077033247,-0.3851561899
harmful,polite_multi_turn,geometric_mean_token_probability,10,0.6400533072,0.0702113278,0.6023177110,0.6833120402
harmful,polite_multi_turn,perplexity,10,1.5779226378,0.1584140169,1.4797541292,1.6642329946
harmful,polite_multi_turn,mean_first_8_token_logprob,10,-1.1620862388,1.1225166859,-1.8382202094,-0.5436738770
harmful,polite_multi_turn,mean_first_16_token_logprob,10,-1.3420549358,0.9538365679,-1.8948203893,-0.7627970588
harmful,polite_multi_turn,mean_first_32_token_logprob,10,-1.1191775826,0.4778756324,-1.4009430658,-0.8436831897
harmful,polite_multi_turn,mean_token_entropy,10,0.2941212238,0.0673410425,0.2559319369,0.3336855675
harmful,polite_multi_turn,mean_top1_top2_probability_margin,10,0.8215672499,0.0389467715,0.7980566048,0.8435602237
harmful,polite_multi_turn,continuation_token_count,10,238.4000000000,69.8175399802,196.9975000000,278.9025000000
benign,direct,mean_token_logprob,10,-0.2116398436,0.0948537434,-0.2757179476,-0.1665115009
benign,direct,geometric_mean_token_probability,10,0.8123728964,0.0713845540,0.7658305332,0.8483496753
benign,direct,perplexity,10,1.2409864928,0.1274836872,1.1803943505,1.3256283165
benign,direct,mean_first_8_token_logprob,10,-0.1978677112,0.1596417420,-0.2978969921,-0.1126643065
benign,direct,mean_first_16_token_logprob,10,-0.1740761729,0.1581509061,-0.2779034764,-0.0911759935
benign,direct,mean_first_32_token_logprob,10,-0.1850377718,0.1376259472,-0.2766846851,-0.1175978953
benign,direct,mean_token_entropy,10,0.4509286750,0.2233047298,0.3417754272,0.5966091124
benign,direct,mean_top1_top2_probability_margin,10,0.7538723877,0.0729567349,0.7061283705,0.7928404281
benign,direct,continuation_token_count,10,342.0000000000,144.1303422446,261.0950000000,426.0025000000
benign,polite,mean_token_logprob,10,-0.2161743256,0.0928345223,-0.2782906443,-0.1714870776
benign,polite,geometric_mean_token_probability,10,0.8085652460,0.0694788046,0.7634704467,0.8433403071
benign,polite,perplexity,10,1.2464046192,0.1253771221,1.1876580885,1.3305523558
benign,polite,mean_first_8_token_logprob,10,-0.2413493964,0.1591171206,-0.3374722093,-0.1535317686
benign,polite,mean_first_16_token_logprob,10,-0.1996343236,0.1534628401,-0.3005066308,-0.1191990568
benign,polite,mean_first_32_token_logprob,10,-0.2044850334,0.1336628273,-0.2922272598,-0.1382758859
benign,polite,mean_token_entropy,10,0.4492837471,0.2240451104,0.3409287486,0.5971359952
benign,polite,mean_top1_top2_probability_margin,10,0.7541524609,0.0729121405,0.7067151169,0.7920760842
benign,polite,continuation_token_count,10,342.0000000000,144.1303422446,260.4975000000,431.0025000000
benign,multi_turn,mean_token_logprob,10,-0.5260770848,0.1167435890,-0.5947821493,-0.4575050754
benign,multi_turn,geometric_mean_token_probability,10,0.5945713937,0.0700510245,0.5551501524,0.6376309443
benign,multi_turn,perplexity,10,1.7026298689,0.1973957637,1.5883239866,1.8166865398
benign,multi_turn,mean_first_8_token_logprob,10,-1.6650416350,1.0719186025,-2.3117476842,-1.0662216157
benign,multi_turn,mean_first_16_token_logprob,10,-1.2855116442,0.8840987066,-1.8155885080,-0.8020594965
benign,multi_turn,mean_first_32_token_logprob,10,-0.9392015000,0.4306980464,-1.1911004121,-0.6884869992
benign,multi_turn,mean_token_entropy,10,0.5518273934,0.2031411183,0.4495807032,0.6852596079
benign,multi_turn,mean_top1_top2_probability_margin,10,0.7123190007,0.0662409133,0.6691584381,0.7467837437
benign,multi_turn,continuation_token_count,10,342.0000000000,144.1303422446,260.2950000000,429.4000000000
benign,polite_multi_turn,mean_token_logprob,10,-0.5385149588,0.1090339030,-0.6022257287,-0.4746931041
benign,polite_multi_turn,geometric_mean_token_probability,10,0.5867360526,0.0637682994,0.5490080520,0.6250188713
benign,polite_multi_turn,perplexity,10,1.7226618575,0.1883178002,1.6138251802,1.8330573246
benign,polite_multi_turn,mean_first_8_token_logprob,10,-1.9241679174,1.1278974395,-2.5994440675,-1.2735585740
benign,polite_multi_turn,mean_first_16_token_logprob,10,-1.4343365151,0.8759818911,-1.9583067905,-0.9271757687
benign,polite_multi_turn,mean_first_32_token_logprob,10,-1.0541048110,0.4470334346,-1.3096229043,-0.7759907570
benign,polite_multi_turn,mean_token_entropy,10,0.5560007890,0.1986041335,0.4537089850,0.6855647346
benign,polite_multi_turn,mean_top1_top2_probability_margin,10,0.7123520361,0.0653444199,0.6711824521,0.7476238079
benign,polite_multi_turn,continuation_token_count,10,342.0000000000,144.1303422446,261.4950000000,427.8050000000
