analysis_type,group,comparison,metric,n,spearman_rho,p_value,bootstrap_ci_low,bootstrap_ci_high
response_level,all_harmful_final,,mean_token_logprob,40,-0.5176154594,0.0006248881,-0.6820216749,-0.2707931796
response_level,all_harmful_final,,mean_first_16_token_logprob,40,-0.2670982280,0.0956865156,-0.5365564059,0.1103224903
response_level,all_harmful_final,,mean_token_entropy,40,0.5176154594,0.0006248881,0.2707931796,0.6821653326
response_level,harmful_direct,,mean_token_logprob,10,,,,
response_level,harmful_direct,,mean_first_16_token_logprob,10,,,,
response_level,harmful_direct,,mean_token_entropy,10,,,,
response_level,harmful_polite,,mean_token_logprob,10,,,,
response_level,harmful_polite,,mean_first_16_token_logprob,10,,,,
response_level,harmful_polite,,mean_token_entropy,10,,,,
response_level,harmful_multi_turn,,mean_token_logprob,10,-0.6833490732,0.0293766835,-0.8204126541,-0.5254270831
response_level,harmful_multi_turn,,mean_first_16_token_logprob,10,-0.4670993665,0.1734859198,-0.8460808445,0.1762268442
response_level,harmful_multi_turn,,mean_token_entropy,10,0.6833490732,0.0293766835,0.5254270831,0.8204126541
response_level,harmful_polite_multi_turn,,mean_token_logprob,10,-0.6833490732,0.0293766835,-0.8204126541,-0.5254270831
response_level,harmful_polite_multi_turn,,mean_first_16_token_logprob,10,-0.1556997888,0.6675441131,-0.8126360554,0.7093269021
response_level,harmful_polite_multi_turn,,mean_token_entropy,10,0.6833490732,0.0293766835,0.5254270831,0.8204126541
paired_delta,harmful,polite_minus_direct,mean_token_logprob,10,,,,
paired_delta,harmful,polite_minus_direct,mean_first_16_token_logprob,10,,,,
paired_delta,harmful,polite_minus_direct,mean_token_entropy,10,,,,
paired_delta,harmful,multi_turn_minus_direct,mean_token_logprob,10,-0.6833490732,0.0293766835,-0.8204126541,-0.5254270831
paired_delta,harmful,multi_turn_minus_direct,mean_first_16_token_logprob,10,-0.4670993665,0.1734859198,-0.8445161616,0.1756820922
paired_delta,harmful,multi_turn_minus_direct,mean_token_entropy,10,0.6833490732,0.0293766835,0.5254270831,0.8204126541
paired_delta,harmful,polite_multi_turn_minus_multi_turn,mean_token_logprob,10,,,,
paired_delta,harmful,polite_multi_turn_minus_multi_turn,mean_first_16_token_logprob,10,,,,
paired_delta,harmful,polite_multi_turn_minus_multi_turn,mean_token_entropy,10,,,,
