comparison,left_condition,right_condition,subset,metric,n_pairs,left_mean,right_mean,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,permutation_method,wilcoxon_statistic,wilcoxon_p_value
polite_minus_direct,direct,polite,all,mean_token_logprob,20,-0.1624892944,-0.1597791788,0.0027101156,0.0037891210,-0.0068074701,0.0119403201,0.5935081298,monte_carlo_sign_flip,73.0000000000,0.2454872131
polite_minus_direct,direct,polite,all,geometric_mean_token_probability,20,0.8527127619,0.8547096273,0.0019968654,0.0032826224,-0.0058578287,0.0093225424,0.6144277114,monte_carlo_sign_flip,74.0000000000,0.2610988617
polite_minus_direct,direct,polite,all,perplexity,20,1.1806276551,1.1768333692,-0.0037942860,-0.0043737790,-0.0162752778,0.0085884144,0.5713485730,monte_carlo_sign_flip,73.0000000000,0.2454872131
polite_minus_direct,direct,polite,all,mean_first_8_token_logprob,20,-0.1429454810,-0.1448091115,-0.0018636305,-0.0022888193,-0.0285953139,0.0294327017,0.9177016460,monte_carlo_sign_flip,101.0000000000,0.8983173370
polite_minus_direct,direct,polite,all,mean_first_16_token_logprob,20,-0.1293557618,-0.1434842362,-0.0141284744,-0.0029175079,-0.0390208303,0.0073706445,0.2784944301,monte_carlo_sign_flip,71.0000000000,0.2161674500
polite_minus_direct,direct,polite,all,mean_first_32_token_logprob,20,-0.1444321425,-0.1523486085,-0.0079164660,-0.0038569627,-0.0263996081,0.0068217992,0.4430911382,monte_carlo_sign_flip,80.0000000000,0.3682765961
polite_minus_direct,direct,polite,all,mean_token_entropy,20,0.3456221037,0.3422667649,-0.0033553387,-0.0071530146,-0.0210251942,0.0152641767,0.7263454731,monte_carlo_sign_flip,79.0000000000,0.3488101959
polite_minus_direct,direct,polite,all,mean_top1_top2_probability_margin,20,0.7994897691,0.8031107006,0.0036209315,0.0064907162,-0.0061502527,0.0124565094,0.4710505790,monte_carlo_sign_flip,66.0000000000,0.1536464691
polite_minus_direct,direct,polite,harmful,mean_token_logprob,10,-0.1133387452,-0.1144292448,-0.0010904996,0.0023057007,-0.0127024978,0.0076609663,0.8945312500,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,harmful,geometric_mean_token_probability,10,0.8930526275,0.8922449035,-0.0008077240,0.0020297751,-0.0110296561,0.0070345096,0.9023437500,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,harmful,perplexity,10,1.1202688175,1.1216981502,0.0014293327,-0.0026200344,-0.0083602214,0.0147224361,0.8906250000,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,harmful,mean_first_8_token_logprob,10,-0.0880232507,-0.1026161196,-0.0145928689,-0.0037469350,-0.0370020258,0.0049558106,0.2675781250,exact_sign_flip,17.0000000000,0.3222656250
polite_minus_direct,direct,polite,harmful,mean_first_16_token_logprob,10,-0.0846353506,-0.1045580434,-0.0199226928,-0.0029175079,-0.0549003219,0.0035336692,0.2324218750,exact_sign_flip,15.0000000000,0.2324218750
polite_minus_direct,direct,polite,harmful,mean_first_32_token_logprob,10,-0.1038265132,-0.1127129964,-0.0088864832,0.0018159413,-0.0418166568,0.0143963241,0.7734375000,exact_sign_flip,27.0000000000,1.0000000000
polite_minus_direct,direct,polite,harmful,mean_token_entropy,10,0.2403155324,0.2435437018,0.0032281694,-0.0053726783,-0.0149564345,0.0284805762,0.8945312500,exact_sign_flip,21.0000000000,0.5566406250
polite_minus_direct,direct,polite,harmful,mean_top1_top2_probability_margin,10,0.8451071504,0.8450036540,-0.0001034963,0.0031682593,-0.0135663182,0.0108316505,0.9902343750,exact_sign_flip,18.0000000000,0.3750000000
polite_minus_direct,direct,polite,benign,mean_token_logprob,10,-0.2116398436,-0.2051291128,0.0065107308,0.0090858742,-0.0095521521,0.0216364513,0.4492187500,exact_sign_flip,17.0000000000,0.3222656250
polite_minus_direct,direct,polite,benign,geometric_mean_token_probability,10,0.8123728964,0.8171743511,0.0048014548,0.0074959345,-0.0069517383,0.0158196783,0.4414062500,exact_sign_flip,17.0000000000,0.3222656250
polite_minus_direct,direct,polite,benign,perplexity,10,1.2409864928,1.2319685881,-0.0090179046,-0.0110141877,-0.0302559345,0.0116256823,0.4570312500,exact_sign_flip,17.0000000000,0.3222656250
