subset,condition,metric,n,mean,median,ci_low,ci_high
all,direct,mean_token_logprob,20,-0.1624892944,-0.1438585158,-0.2020459209,-0.1312968514
all,direct,geometric_mean_token_probability,20,0.8527127619,0.8660102758,0.8220656950,0.8777461905
all,direct,perplexity,20,1.1806276551,1.1547207351,1.1407247388,1.2325703423
all,direct,mean_first_8_token_logprob,20,-0.1429454810,-0.1013761655,-0.2036447184,-0.0935360415
all,direct,mean_first_16_token_logprob,20,-0.1293557618,-0.0833014304,-0.1872319848,-0.0863909196
all,direct,mean_first_32_token_logprob,20,-0.1444321425,-0.1166981382,-0.1957245508,-0.1059986490
all,direct,mean_token_entropy,20,0.3456221037,0.3009732974,0.2754134597,0.4362034781
all,direct,mean_top1_top2_probability_margin,20,0.7994897691,0.8088059120,0.7678760908,0.8270868229
all,polite,mean_token_logprob,20,-0.1597791788,-0.1414141919,-0.1960661436,-0.1299896126
all,polite,geometric_mean_token_probability,20,0.8547096273,0.8681296811,0.8260352179,0.8791170323
all,polite,perplexity,20,1.1768333692,1.1519016788,1.1399553825,1.2231295851
all,polite,mean_first_8_token_logprob,20,-0.1448091115,-0.1188611690,-0.2018050747,-0.0990042919
all,polite,mean_first_16_token_logprob,20,-0.1434842362,-0.0930372957,-0.2006490764,-0.0991267651
all,polite,mean_first_32_token_logprob,20,-0.1523486085,-0.1186132750,-0.2041753964,-0.1142441286
all,polite,mean_token_entropy,20,0.3422667649,0.2923404333,0.2760430310,0.4254242692
all,polite,mean_top1_top2_probability_margin,20,0.8031107006,0.8172525246,0.7717974082,0.8303779885
all,multi_turn,mean_token_logprob,20,-0.1815948640,-0.1720147047,-0.2163414238,-0.1501983938
all,multi_turn,geometric_mean_token_probability,20,0.8361979894,0.8419811971,0.8083889415,0.8616698798
all,multi_turn,perplexity,20,1.2025197007,1.1877156177,1.1643296273,1.2464101404
all,multi_turn,mean_first_8_token_logprob,20,-0.1345569766,-0.1145155605,-0.2006727591,-0.0870007059
all,multi_turn,mean_first_16_token_logprob,20,-0.1409990617,-0.1069755344,-0.1923551070,-0.0984211922
all,multi_turn,mean_first_32_token_logprob,20,-0.1812865468,-0.1614194795,-0.2249807322,-0.1409362808
all,multi_turn,mean_token_entropy,20,0.3961950293,0.3545510178,0.3266031082,0.4745622123
all,multi_turn,mean_top1_top2_probability_margin,20,0.7860694961,0.7802978960,0.7564005372,0.8151494562
all,polite_multi_turn,mean_token_logprob,20,-0.1881827261,-0.1509197998,-0.2283506238,-0.1517748234
all,polite_multi_turn,geometric_mean_token_probability,20,0.8315385433,0.8599251952,0.7993013587,0.8600407850
all,polite_multi_turn,perplexity,20,1.2118550353,1.1629149300,1.1675814325,1.2627355712
all,polite_multi_turn,mean_first_8_token_logprob,20,-0.1561930139,-0.1205694693,-0.2352489841,-0.0992480860
all,polite_multi_turn,mean_first_16_token_logprob,20,-0.1584468950,-0.1047119154,-0.2394346235,-0.1031161402
all,polite_multi_turn,mean_first_32_token_logprob,20,-0.1895731523,-0.1560132711,-0.2530054844,-0.1367599032
all,polite_multi_turn,mean_token_entropy,20,0.4102304657,0.3263635216,0.3296932714,0.4990938529
all,polite_multi_turn,mean_top1_top2_probability_margin,20,0.7790539145,0.8111469719,0.7456158882,0.8103834820
