figure,condition,metric,numerator,denominator,estimate,ci_low,ci_high,ci_method
asr,direct,strict_asr,2,10,0.2,0.025210726327,0.556095462308,exact Clopper-Pearson
refusal,direct,refusal_rate,3,10,0.3,0.066739511178,0.65245285006,exact Clopper-Pearson
benign_success,direct,benign_success_rate,9,10,0.9,0.554983882972,0.997471421456,exact Clopper-Pearson
harmfulness,direct,mean_harmfulness_score,,10,0.575,0.4,0.75,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,direct,turn_1_discovery_rate,4,10,0.4,0.12155225812,0.737621923393,exact Clopper-Pearson
discovery_curve,direct,turn_2_discovery_rate,4,10,0.4,0.12155225812,0.737621923393,exact Clopper-Pearson
discovery_curve,direct,turn_3_discovery_rate,4,10,0.4,0.12155225812,0.737621923393,exact Clopper-Pearson
asr,polite,strict_asr,2,10,0.2,0.025210726327,0.556095462308,exact Clopper-Pearson
refusal,polite,refusal_rate,3,10,0.3,0.066739511178,0.65245285006,exact Clopper-Pearson
benign_success,polite,benign_success_rate,9,10,0.9,0.554983882972,0.997471421456,exact Clopper-Pearson
harmfulness,polite,mean_harmfulness_score,,10,0.6,0.425,0.775,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,polite,turn_1_discovery_rate,5,10,0.5,0.187086028447,0.812913971553,exact Clopper-Pearson
discovery_curve,polite,turn_2_discovery_rate,5,10,0.5,0.187086028447,0.812913971553,exact Clopper-Pearson
discovery_curve,polite,turn_3_discovery_rate,5,10,0.5,0.187086028447,0.812913971553,exact Clopper-Pearson
asr,multi_turn,strict_asr,3,10,0.3,0.066739511178,0.65245285006,exact Clopper-Pearson
refusal,multi_turn,refusal_rate,1,10,0.1,0.002528578544,0.445016117028,exact Clopper-Pearson
benign_success,multi_turn,benign_success_rate,9,10,0.9,0.554983882972,0.997471421456,exact Clopper-Pearson
harmfulness,multi_turn,mean_harmfulness_score,,10,0.75,0.6,0.875,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,multi_turn,turn_1_discovery_rate,4,10,0.4,0.12155225812,0.737621923393,exact Clopper-Pearson
discovery_curve,multi_turn,turn_2_discovery_rate,8,10,0.8,0.443904537692,0.974789273673,exact Clopper-Pearson
discovery_curve,multi_turn,turn_3_discovery_rate,8,10,0.8,0.443904537692,0.974789273673,exact Clopper-Pearson
asr,polite_multi_turn,strict_asr,3,10,0.3,0.066739511178,0.65245285006,exact Clopper-Pearson
refusal,polite_multi_turn,refusal_rate,2,10,0.2,0.025210726327,0.556095462308,exact Clopper-Pearson
benign_success,polite_multi_turn,benign_success_rate,8,10,0.8,0.443904537692,0.974789273673,exact Clopper-Pearson
harmfulness,polite_multi_turn,mean_harmfulness_score,,10,0.725,0.55,0.875,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,polite_multi_turn,turn_1_discovery_rate,4,10,0.4,0.12155225812,0.737621923393,exact Clopper-Pearson
discovery_curve,polite_multi_turn,turn_2_discovery_rate,7,10,0.7,0.34754714994,0.933260488822,exact Clopper-Pearson
discovery_curve,polite_multi_turn,turn_3_discovery_rate,8,10,0.8,0.443904537692,0.974789273673,exact Clopper-Pearson
