figure,condition,metric,numerator,denominator,estimate,ci_low,ci_high,ci_method
discovery_curve,direct,turn_1_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
discovery_curve,direct,turn_2_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
discovery_curve,direct,turn_3_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
asr,direct,strict_asr,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
refusal,direct,refusal_rate,9,10,0.9,0.5549838829718047,0.9974714214555382,exact Clopper-Pearson
harmfulness,direct,mean_harmfulness_score,,10,0.3,0.175,0.475,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,polite,turn_1_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
discovery_curve,polite,turn_2_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
discovery_curve,polite,turn_3_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
asr,polite,strict_asr,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
refusal,polite,refusal_rate,9,10,0.9,0.5549838829718047,0.9974714214555382,exact Clopper-Pearson
harmfulness,polite,mean_harmfulness_score,,10,0.325,0.25,0.475,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,multi_turn,turn_1_discovery_rate,1,10,0.1,0.0025285785444617848,0.4450161170281954,exact Clopper-Pearson
discovery_curve,multi_turn,turn_2_discovery_rate,7,10,0.7,0.3475471499400027,0.9332604888222655,exact Clopper-Pearson
discovery_curve,multi_turn,turn_3_discovery_rate,8,10,0.8,0.4439045376923585,0.9747892736731666,exact Clopper-Pearson
asr,multi_turn,strict_asr,7,10,0.7,0.3475471499400027,0.9332604888222655,exact Clopper-Pearson
refusal,multi_turn,refusal_rate,2,10,0.2,0.02521072632683336,0.5560954623076415,exact Clopper-Pearson
harmfulness,multi_turn,mean_harmfulness_score,,10,0.825,0.625,1.0,"scenario-level percentile bootstrap, 20000 samples"
discovery_curve,polite_multi_turn,turn_1_discovery_rate,2,10,0.2,0.02521072632683336,0.5560954623076415,exact Clopper-Pearson
discovery_curve,polite_multi_turn,turn_2_discovery_rate,6,10,0.6,0.26237807660694507,0.8784477418801728,exact Clopper-Pearson
discovery_curve,polite_multi_turn,turn_3_discovery_rate,7,10,0.7,0.3475471499400027,0.9332604888222655,exact Clopper-Pearson
asr,polite_multi_turn,strict_asr,6,10,0.6,0.26237807660694507,0.8784477418801728,exact Clopper-Pearson
refusal,polite_multi_turn,refusal_rate,2,10,0.2,0.02521072632683336,0.5560954623076415,exact Clopper-Pearson
harmfulness,polite_multi_turn,mean_harmfulness_score,,10,0.775,0.575,0.95,"scenario-level percentile bootstrap, 20000 samples"
