subset,condition,metric,n,mean,standard_deviation,ci_low,ci_high
all,direct,mean_token_logprob,20,-0.3870070898,0.0594664185,-0.4119804531,-0.3618091910
all,direct,geometric_mean_token_probability,20,0.6802327619,0.0407133916,0.6629930953,0.6978188044
all,direct,perplexity,20,1.4750302887,0.0870768203,1.4374376691,1.5119438646
all,direct,mean_first_8_token_logprob,20,-0.2664817777,0.2499183367,-0.3819487663,-0.1709560786
all,direct,mean_first_16_token_logprob,20,-0.3054317312,0.1287262010,-0.3620555199,-0.2506650867
all,direct,mean_first_32_token_logprob,20,-0.3369492627,0.1011578052,-0.3813407878,-0.2943038390
all,direct,mean_token_entropy,20,0.7483614552,0.1218324236,0.6957693416,0.8018357999
all,direct,mean_top1_top2_probability_margin,20,0.6426875702,0.0436156190,0.6242677627,0.6614555685
all,direct,continuation_token_count,20,489.7000000000,266.6296662927,376.3975000000,606.2012500000
all,polite,mean_token_logprob,20,-0.3970336797,0.0598760997,-0.4225667241,-0.3718845828
all,polite,geometric_mean_token_probability,20,0.6734610223,0.0405280225,0.6565496550,0.6910903446
all,polite,perplexity,20,1.4899310878,0.0886934096,1.4517895439,1.5270198029
all,polite,mean_first_8_token_logprob,20,-0.3052362843,0.2410514484,-0.4163753185,-0.2110254744
all,polite,mean_first_16_token_logprob,20,-0.3352036559,0.1293338563,-0.3907939110,-0.2802674419
all,polite,mean_first_32_token_logprob,20,-0.3548251495,0.1020274393,-0.3986767295,-0.3119570966
all,polite,mean_token_entropy,20,0.7661418063,0.1195379320,0.7159461895,0.8172140559
all,polite,mean_top1_top2_probability_margin,20,0.6375783510,0.0417669312,0.6202558540,0.6558685707
all,polite,continuation_token_count,20,489.7000000000,266.6296662927,377.4462500000,602.9500000000
all,multi_turn,mean_token_logprob,20,-0.7331859747,0.1930887765,-0.8170741166,-0.6528031304
all,multi_turn,geometric_mean_token_probability,20,0.4885806028,0.0884410847,0.4502488534,0.5261467082
all,multi_turn,perplexity,20,2.1203951111,0.4351513674,1.9455093895,2.3125012972
all,multi_turn,mean_first_8_token_logprob,20,-2.5545653594,1.9939213815,-3.4622718628,-1.7550011468
all,multi_turn,mean_first_16_token_logprob,20,-1.9002187435,1.1330958176,-2.4163795450,-1.4458252721
all,multi_turn,mean_first_32_token_logprob,20,-1.5208649883,0.8476400340,-1.9024142782,-1.1808712142
all,multi_turn,mean_token_entropy,20,0.6285759235,0.1164203035,0.5802651294,0.6780717038
all,multi_turn,mean_top1_top2_probability_margin,20,0.6845401892,0.0476528160,0.6637097109,0.7048442576
all,multi_turn,continuation_token_count,20,489.7000000000,266.6296662927,375.8500000000,601.8012500000
all,polite_multi_turn,mean_token_logprob,20,-0.7290705216,0.1722196750,-0.8040779198,-0.6572891790
all,polite_multi_turn,geometric_mean_token_probability,20,0.4890006168,0.0806866897,0.4546976421,0.5232826294
all,polite_multi_turn,perplexity,20,2.1032921348,0.3761045070,1.9508256931,2.2715679047
all,polite_multi_turn,mean_first_8_token_logprob,20,-2.5397619192,1.8807317419,-3.3870710471,-1.7822996404
all,polite_multi_turn,mean_first_16_token_logprob,20,-1.8139599343,0.9603846957,-2.2534024131,-1.4351332544
all,polite_multi_turn,mean_first_32_token_logprob,20,-1.4506895467,0.6366119481,-1.7346927108,-1.1877362068
all,polite_multi_turn,mean_token_entropy,20,0.6140798818,0.1214743023,0.5640540266,0.6657383693
all,polite_multi_turn,mean_top1_top2_probability_margin,20,0.6907335105,0.0484509845,0.6696122662,0.7114329285
all,polite_multi_turn,continuation_token_count,20,489.7000000000,266.6296662927,375.7975000000,604.1525000000
harmful,direct,mean_token_logprob,10,-0.3826420263,0.0670137947,-0.4215547966,-0.3431523471
harmful,direct,geometric_mean_token_probability,10,0.6834410705,0.0460113393,0.6572839309,0.7103151488
harmful,direct,perplexity,10,1.4691066383,0.0978304022,1.4102714582,1.5250404230
harmful,direct,mean_first_8_token_logprob,10,-0.1708250481,0.1551243475,-0.2741015702,-0.0942389259
harmful,direct,mean_first_16_token_logprob,10,-0.2917932486,0.1245120599,-0.3617386861,-0.2179831274
harmful,direct,mean_first_32_token_logprob,10,-0.3134144817,0.1012100439,-0.3729715635,-0.2537458214
harmful,direct,mean_token_entropy,10,0.7339819200,0.1332564762,0.6583429257,0.8121756595
harmful,direct,mean_top1_top2_probability_margin,10,0.6399144501,0.0534592476,0.6084241611,0.6718585268
harmful,direct,continuation_token_count,10,359.3000000000,251.6647019791,221.1000000000,518.1050000000
harmful,polite,mean_token_logprob,10,-0.3935954971,0.0689336445,-0.4333273774,-0.3529767875
harmful,polite,geometric_mean_token_probability,10,0.6760758186,0.0468364819,0.6491211382,0.7035694954
harmful,polite,perplexity,10,1.4854599588,0.1017259209,1.4263288692,1.5438336127
harmful,polite,mean_first_8_token_logprob,10,-0.2256580610,0.1963976944,-0.3461767051,-0.1191245102
harmful,polite,mean_first_16_token_logprob,10,-0.3288295070,0.1318612786,-0.4024742148,-0.2506066643
harmful,polite,mean_first_32_token_logprob,10,-0.3362445211,0.1075124048,-0.4011528909,-0.2718256659
harmful,polite,mean_token_entropy,10,0.7508648193,0.1301208931,0.6746009422,0.8259196928
harmful,polite,mean_top1_top2_probability_margin,10,0.6356585888,0.0509459379,0.6066501267,0.6653911975
harmful,polite,continuation_token_count,10,359.3000000000,251.6647019791,222.2975000000,516.0050000000
harmful,multi_turn,mean_token_logprob,10,-0.7401321694,0.2199316995,-0.8704554581,-0.6191341735
harmful,multi_turn,geometric_mean_token_probability,10,0.4870441140,0.0998262984,0.4261070476,0.5437402023
harmful,multi_turn,perplexity,10,2.1443027888,0.5026983247,1.8677381609,2.4597477381
harmful,multi_turn,mean_first_8_token_logprob,10,-1.9196542838,0.9966650476,-2.5600874687,-1.4116610719
harmful,multi_turn,mean_first_16_token_logprob,10,-1.5506020394,0.5048685348,-1.8564631375,-1.2625399474
harmful,multi_turn,mean_first_32_token_logprob,10,-1.1900111374,0.3115440200,-1.3837887861,-1.0197303555
harmful,multi_turn,mean_token_entropy,10,0.6137995419,0.1253798019,0.5408034594,0.6878123869
harmful,multi_turn,mean_top1_top2_probability_margin,10,0.6845431978,0.0572033003,0.6512772464,0.7178842606
harmful,multi_turn,continuation_token_count,10,359.3000000000,251.6647019791,221.3975000000,518.1000000000
harmful,polite_multi_turn,mean_token_logprob,10,-0.7522044221,0.1952003472,-0.8715212740,-0.6416796465
harmful,polite_multi_turn,geometric_mean_token_probability,10,0.4792659892,0.0900425502,0.4263477124,0.5311241323
harmful,polite_multi_turn,perplexity,10,2.1590566468,0.4335619590,1.9180799011,2.4227768156
harmful,polite_multi_turn,mean_first_8_token_logprob,10,-1.9284986952,1.0466086551,-2.5532469105,-1.3551638532
harmful,polite_multi_turn,mean_first_16_token_logprob,10,-1.5517825821,0.4570794437,-1.8249120309,-1.2948005411
harmful,polite_multi_turn,mean_first_32_token_logprob,10,-1.1983095801,0.2569253671,-1.3445317790,-1.0428939277
harmful,polite_multi_turn,mean_token_entropy,10,0.5928210818,0.1231356361,0.5218477700,0.6671187373
harmful,polite_multi_turn,mean_top1_top2_probability_margin,10,0.6944341661,0.0550090641,0.6622481829,0.7269026633
harmful,polite_multi_turn,continuation_token_count,10,359.3000000000,251.6647019791,223.4975000000,515.4025000000
benign,direct,mean_token_logprob,10,-0.3913721534,0.0541501308,-0.4225821574,-0.3588416273
benign,direct,geometric_mean_token_probability,10,0.6770244533,0.0368702980,0.6557506253,0.6986208349
benign,direct,perplexity,10,1.4809539391,0.0797399936,1.4327464384,1.5289124402
benign,direct,mean_first_8_token_logprob,10,-0.3621385074,0.2957378828,-0.5529662995,-0.2134526977
