analysis_type,group,comparison,metric,n,spearman_rho,p_value,bootstrap_ci_low,bootstrap_ci_high
response_level,all_harmful_final,,mean_token_logprob,40,0.5182812525,0.0006131221,0.2542447985,0.7214963794
response_level,all_harmful_final,,mean_first_16_token_logprob,40,0.1360567391,0.4025280406,-0.1861610141,0.4386829063
response_level,all_harmful_final,,mean_token_entropy,40,-0.4711360104,0.0021515316,-0.6920802838,-0.2005904981
response_level,harmful_direct,,mean_token_logprob,10,0.3892494721,0.2662240731,-0.2974294209,0.8204126541
response_level,harmful_direct,,mean_first_16_token_logprob,10,0.2335496832,0.5160766338,-0.2983811975,0.6687338551
response_level,harmful_direct,,mean_token_entropy,10,-0.2335496832,0.5160766338,-0.6467174762,0.3482453437
response_level,harmful_polite,,mean_token_logprob,10,0.5222329679,0.1215029188,0.5254270831,0.8230548918
response_level,harmful_polite,,mean_first_16_token_logprob,10,-0.5222329679,0.1215029188,-0.8225925002,-0.5254270831
response_level,harmful_polite,,mean_token_entropy,10,-0.5222329679,0.1215029188,-0.8204126541,-0.5254270831
response_level,harmful_multi_turn,,mean_token_logprob,10,-0.3290064485,0.3532734100,-0.8054174165,0.4032098245
response_level,harmful_multi_turn,,mean_first_16_token_logprob,10,0.2261919333,0.5297525837,-0.5251220802,0.8131249358
response_level,harmful_multi_turn,,mean_token_entropy,10,0.4112580606,0.2377107227,-0.3591905583,0.8131249358
response_level,harmful_polite_multi_turn,,mean_token_logprob,10,-0.0693541982,0.8490153247,-0.7115680670,0.5596911064
response_level,harmful_polite_multi_turn,,mean_first_16_token_logprob,10,0.5617690055,0.0910276022,0.0000000000,0.8608284620
response_level,harmful_polite_multi_turn,,mean_token_entropy,10,0.1456438163,0.6880766680,-0.5249007843,0.7460938416
paired_delta,harmful,polite_minus_direct,mean_token_logprob,10,0.0580258853,0.8734948924,-0.3546634511,0.5319951766
paired_delta,harmful,polite_minus_direct,mean_first_16_token_logprob,10,0.0580258853,0.8734948924,-0.3535533906,0.5319951766
paired_delta,harmful,polite_minus_direct,mean_token_entropy,10,-0.0580258853,0.8734948924,-0.5319951766,0.3546634511
paired_delta,harmful,multi_turn_minus_direct,mean_token_logprob,10,-0.1267066912,0.7272362762,-0.7185337005,0.5544379450
paired_delta,harmful,multi_turn_minus_direct,mean_first_16_token_logprob,10,-0.1583833640,0.6620975008,-0.8212831752,0.4633124055
paired_delta,harmful,multi_turn_minus_direct,mean_token_entropy,10,0.1900600368,0.5989392574,-0.4875178059,0.7500667770
paired_delta,harmful,polite_multi_turn_minus_multi_turn,mean_token_logprob,10,0.0749110958,0.8370484594,-0.7115680670,0.8204126541
paired_delta,harmful,polite_multi_turn_minus_multi_turn,mean_first_16_token_logprob,10,0.7491109583,0.0126414768,0.3516054232,0.9393364366
paired_delta,harmful,polite_multi_turn_minus_multi_turn,mean_token_entropy,10,-0.0749110958,0.8370484594,-0.8204126541,0.7115680670
