subset,condition,metric,n,mean,standard_deviation,ci_low,ci_high
all,direct,mean_token_logprob,20,-0.3876086230,0.0593170645,-0.4124896974,-0.3622005997
all,direct,geometric_mean_token_probability,20,0.6798179471,0.0405863344,0.6628157622,0.6977094956
all,direct,perplexity,20,1.4759054787,0.0869108210,1.4390723939,1.5119583764
all,direct,mean_first_8_token_logprob,20,-0.2671200246,0.2483420420,-0.3811125524,-0.1730927418
all,direct,mean_first_16_token_logprob,20,-0.3067461736,0.1278096892,-0.3622550146,-0.2526087528
all,direct,mean_first_32_token_logprob,20,-0.3388392661,0.1015086215,-0.3828970080,-0.2958496195
all,direct,mean_token_entropy,20,0.7488111580,0.1216042449,0.6975052592,0.8013436372
all,direct,mean_top1_top2_probability_margin,20,0.6426293273,0.0433697972,0.6243439096,0.6614071964
all,polite,mean_token_logprob,20,-0.3868649332,0.0426207049,-0.4050248079,-0.3689253473
all,polite,geometric_mean_token_probability,20,0.6797683848,0.0289348226,0.6668822215,0.6920105041
all,polite,perplexity,20,1.4736303313,0.0629731718,1.4463477867,1.5013686949
all,polite,mean_first_8_token_logprob,20,-0.2453116479,0.1720223894,-0.3208148623,-0.1768159460
all,polite,mean_first_16_token_logprob,20,-0.2821177113,0.1167766242,-0.3313858781,-0.2331022422
all,polite,mean_first_32_token_logprob,20,-0.3350016141,0.0981337448,-0.3762923583,-0.2930421483
all,polite,mean_token_entropy,20,0.7492771761,0.0927697422,0.7109624682,0.7893973231
all,polite,mean_top1_top2_probability_margin,20,0.6421554525,0.0324477943,0.6287454164,0.6562923788
all,multi_turn,mean_token_logprob,20,-0.1906682470,0.0983776956,-0.2338078118,-0.1504003049
all,multi_turn,geometric_mean_token_probability,20,0.8301576581,0.0799623093,0.7953796530,0.8641845547
all,multi_turn,perplexity,20,1.2157133076,0.1223237665,1.1649188676,1.2691860600
all,multi_turn,mean_first_8_token_logprob,20,-0.1947487245,0.1243585248,-0.2467658650,-0.1416807854
all,multi_turn,mean_first_16_token_logprob,20,-0.1872512072,0.1107713133,-0.2343963752,-0.1401357556
all,multi_turn,mean_first_32_token_logprob,20,-0.2096567571,0.1143754684,-0.2577741849,-0.1612721812
all,multi_turn,mean_token_entropy,20,0.3836003754,0.2040202928,0.2974530922,0.4727193543
all,multi_turn,mean_top1_top2_probability_margin,20,0.8093238769,0.0889156080,0.7702510325,0.8471553228
all,polite_multi_turn,mean_token_logprob,20,-0.1996778966,0.0983238091,-0.2414199956,-0.1577794667
all,polite_multi_turn,geometric_mean_token_probability,20,0.8227687173,0.0810769167,0.7887494613,0.8572957312
all,polite_multi_turn,perplexity,20,1.2266115935,0.1200836870,1.1766284478,1.2778275248
all,polite_multi_turn,mean_first_8_token_logprob,20,-0.1870334292,0.1334538227,-0.2451385421,-0.1315351117
all,polite_multi_turn,mean_first_16_token_logprob,20,-0.1830366493,0.1176424786,-0.2333345477,-0.1335818458
all,polite_multi_turn,mean_first_32_token_logprob,20,-0.2200750126,0.1113195445,-0.2663767535,-0.1721000176
all,polite_multi_turn,mean_token_entropy,20,0.4019334118,0.1967794574,0.3171192860,0.4844968948
all,polite_multi_turn,mean_top1_top2_probability_margin,20,0.8034139508,0.0895650129,0.7662162487,0.8421640748
finish_length,direct,mean_token_logprob,0,,,,
finish_length,direct,geometric_mean_token_probability,0,,,,
finish_length,direct,perplexity,0,,,,
finish_length,direct,mean_first_8_token_logprob,0,,,,
finish_length,direct,mean_first_16_token_logprob,0,,,,
finish_length,direct,mean_first_32_token_logprob,0,,,,
finish_length,direct,mean_token_entropy,0,,,,
finish_length,direct,mean_top1_top2_probability_margin,0,,,,
finish_length,polite,mean_token_logprob,0,,,,
finish_length,polite,geometric_mean_token_probability,0,,,,
finish_length,polite,perplexity,0,,,,
finish_length,polite,mean_first_8_token_logprob,0,,,,
finish_length,polite,mean_first_16_token_logprob,0,,,,
finish_length,polite,mean_first_32_token_logprob,0,,,,
finish_length,polite,mean_token_entropy,0,,,,
finish_length,polite,mean_top1_top2_probability_margin,0,,,,
finish_length,multi_turn,mean_token_logprob,10,-0.1718753203,0.0599783765,-0.2078206941,-0.1386242949
finish_length,multi_turn,geometric_mean_token_probability,10,0.8434407788,0.0501806296,0.8129047217,0.8725283456
finish_length,multi_turn,perplexity,10,1.1894637789,0.0719267519,1.1487533539,1.2334370715
finish_length,multi_turn,mean_first_8_token_logprob,10,-0.1655504963,0.1234418122,-0.2401351787,-0.0942341682
finish_length,multi_turn,mean_first_16_token_logprob,10,-0.1668189733,0.1088575875,-0.2332750935,-0.1061706290
finish_length,multi_turn,mean_first_32_token_logprob,10,-0.2155487810,0.0943122707,-0.2677985459,-0.1577290798
finish_length,multi_turn,mean_token_entropy,10,0.3476767352,0.1233004847,0.2784619596,0.4233491563
finish_length,multi_turn,mean_top1_top2_probability_margin,10,0.8244103261,0.0560381752,0.7907514131,0.8568484249
finish_length,polite_multi_turn,mean_token_logprob,9,-0.2003878589,0.0909504351,-0.2555458865,-0.1433750254
finish_length,polite_multi_turn,geometric_mean_token_probability,9,0.8214560527,0.0757870985,0.7759522107,0.8691972721
finish_length,polite_multi_turn,perplexity,9,1.2263281777,0.1097583581,1.1576052902,1.2921988169
finish_length,polite_multi_turn,mean_first_8_token_logprob,9,-0.1675491674,0.1009228395,-0.2324204324,-0.1087693589
finish_length,polite_multi_turn,mean_first_16_token_logprob,9,-0.1611420750,0.0912480237,-0.2175781865,-0.1052701610
finish_length,polite_multi_turn,mean_first_32_token_logprob,9,-0.2294847378,0.0905396312,-0.2827572756,-0.1729872200
finish_length,polite_multi_turn,mean_token_entropy,9,0.4041667219,0.1797136547,0.2925188787,0.5119972073
finish_length,polite_multi_turn,mean_top1_top2_probability_margin,9,0.8000733308,0.0841978511,0.7517713606,0.8546532056
finish_non_length,direct,mean_token_logprob,20,-0.3876086230,0.0593170645,-0.4123470630,-0.3617859620
finish_non_length,direct,geometric_mean_token_probability,20,0.6798179471,0.0405863344,0.6624836311,0.6969827081
finish_non_length,direct,perplexity,20,1.4759054787,0.0869108210,1.4384339864,1.5117928204
finish_non_length,direct,mean_first_8_token_logprob,20,-0.2671200246,0.2483420420,-0.3847736175,-0.1723730509
finish_non_length,direct,mean_first_16_token_logprob,20,-0.3067461736,0.1278096892,-0.3624035008,-0.2528160200
finish_non_length,direct,mean_first_32_token_logprob,20,-0.3388392661,0.1015086215,-0.3838562992,-0.2957623917
finish_non_length,direct,mean_token_entropy,20,0.7488111580,0.1216042449,0.6975839798,0.8020429234
finish_non_length,direct,mean_top1_top2_probability_margin,20,0.6426293273,0.0433697972,0.6248888828,0.6610671596
finish_non_length,polite,mean_token_logprob,20,-0.3868649332,0.0426207049,-0.4050529488,-0.3688027025
finish_non_length,polite,geometric_mean_token_probability,20,0.6797683848,0.0289348226,0.6673651738,0.6921917591
finish_non_length,polite,perplexity,20,1.4736303313,0.0629731718,1.4468516521,1.5000513272
finish_non_length,polite,mean_first_8_token_logprob,20,-0.2453116479,0.1720223894,-0.3236194804,-0.1758222971
finish_non_length,polite,mean_first_16_token_logprob,20,-0.2821177113,0.1167766242,-0.3317254919,-0.2334908437
finish_non_length,polite,mean_first_32_token_logprob,20,-0.3350016141,0.0981337448,-0.3758876413,-0.2924867479
finish_non_length,polite,mean_token_entropy,20,0.7492771761,0.0927697422,0.7120298697,0.7902951851
finish_non_length,polite,mean_top1_top2_probability_margin,20,0.6421554525,0.0324477943,0.6287895271,0.6567059971
finish_non_length,multi_turn,mean_token_logprob,10,-0.2094611737,0.1266864528,-0.2842093564,-0.1362065417
finish_non_length,multi_turn,geometric_mean_token_probability,10,0.8168745375,0.1028989585,0.7568499726,0.8776688522
finish_non_length,multi_turn,perplexity,10,1.2419628363,0.1577470194,1.1511130393,1.3353856191
finish_non_length,multi_turn,mean_first_8_token_logprob,10,-0.2239469528,0.1245633045,-0.2945347879,-0.1466988221
finish_non_length,multi_turn,mean_first_16_token_logprob,10,-0.2076834411,0.1145697750,-0.2755804550,-0.1410842311
finish_non_length,multi_turn,mean_first_32_token_logprob,10,-0.2037647332,0.1365469595,-0.2839236705,-0.1264396880
finish_non_length,multi_turn,mean_token_entropy,10,0.4195240155,0.2642019584,0.2652320109,0.5761182439
finish_non_length,multi_turn,mean_top1_top2_probability_margin,10,0.7942374277,0.1142118931,0.7262502110,0.8620184190
finish_non_length,polite_multi_turn,mean_token_logprob,11,-0.1990970183,0.1083973044,-0.2590997847,-0.1390736945
finish_non_length,polite_multi_turn,geometric_mean_token_probability,11,0.8238427157,0.0888359115,0.7731066833,0.8740413896
finish_non_length,polite_multi_turn,perplexity,11,1.2268434791,0.1332686212,1.1525051329,1.3036345722
finish_non_length,polite_multi_turn,mean_first_8_token_logprob,11,-0.2029750980,0.1583328595,-0.2925192015,-0.1139871434
finish_non_length,polite_multi_turn,mean_first_16_token_logprob,11,-0.2009503919,0.1372958165,-0.2809260356,-0.1249826745
finish_non_length,polite_multi_turn,mean_first_32_token_logprob,11,-0.2123761465,0.1297769225,-0.2835534807,-0.1367059987
finish_non_length,polite_multi_turn,mean_token_entropy,11,0.4001061580,0.2184635769,0.2771504181,0.5200388488
finish_non_length,polite_multi_turn,mean_top1_top2_probability_margin,11,0.8061471853,0.0977338735,0.7516492567,0.8612060370
harmful,direct,mean_token_logprob,10,-0.3831128845,0.0668139625,-0.4216023470,-0.3438905376
harmful,direct,geometric_mean_token_probability,10,0.6831110354,0.0458485085,0.6569931079,0.7099352263
harmful,direct,perplexity,10,1.4697810437,0.0975881482,1.4116272661,1.5262065216
harmful,direct,mean_first_8_token_logprob,10,-0.1713019416,0.1544934037,-0.2712676334,-0.0939799947
harmful,direct,mean_first_16_token_logprob,10,-0.2936188593,0.1246103355,-0.3628534124,-0.2192586999
harmful,direct,mean_first_32_token_logprob,10,-0.3144959788,0.1006606028,-0.3736469058,-0.2569256587
harmful,direct,mean_token_entropy,10,0.7344009820,0.1329321710,0.6562727934,0.8123941957
harmful,direct,mean_top1_top2_probability_margin,10,0.6399458171,0.0530735498,0.6084982203,0.6712532890
harmful,polite,mean_token_logprob,10,-0.3649765085,0.0377847447,-0.3861218959,-0.3417478615
harmful,polite,geometric_mean_token_probability,10,0.6946613144,0.0264441511,0.6798403072,0.7106558536
harmful,polite,perplexity,10,1.4414011222,0.0540437322,1.4090613581,1.4727334323
harmful,polite,mean_first_8_token_logprob,10,-0.1831179724,0.1366652811,-0.2666503433,-0.1054421135
harmful,polite,mean_first_16_token_logprob,10,-0.2644714033,0.1308983137,-0.3437288749,-0.1902593259
harmful,polite,mean_first_32_token_logprob,10,-0.3042176875,0.1103102061,-0.3701695166,-0.2407292811
harmful,polite,mean_token_entropy,10,0.7226352277,0.0752707588,0.6772252673,0.7658229371
harmful,polite,mean_top1_top2_probability_margin,10,0.6446669436,0.0415594975,0.6217926781,0.6701423419
harmful,multi_turn,mean_token_logprob,10,-0.2050243448,0.0984153787,-0.2649963203,-0.1518264871
harmful,multi_turn,geometric_mean_token_probability,10,0.8180821255,0.0770357450,0.7724841673,0.8606528451
harmful,multi_turn,perplexity,10,1.2330684838,0.1265242714,1.1651573705,1.3109743401
harmful,multi_turn,mean_first_8_token_logprob,10,-0.2603391926,0.0934840964,-0.3119786729,-0.2030336860
harmful,multi_turn,mean_first_16_token_logprob,10,-0.2375376585,0.0849577711,-0.2866554930,-0.1876191151
harmful,multi_turn,mean_first_32_token_logprob,10,-0.2712206830,0.0840466030,-0.3262648167,-0.2252211353
harmful,multi_turn,mean_token_entropy,10,0.4165602426,0.1976878557,0.3097880078,0.5393888482
harmful,multi_turn,mean_top1_top2_probability_margin,10,0.7943854195,0.0855909416,0.7402683511,0.8407275191
harmful,polite_multi_turn,mean_token_logprob,10,-0.1974653570,0.0950233023,-0.2540308519,-0.1414829312
harmful,polite_multi_turn,geometric_mean_token_probability,10,0.8241451403,0.0781631989,0.7782271583,0.8693002745
harmful,polite_multi_turn,perplexity,10,1.2232715563,0.1163088552,1.1553685933,1.2921593025
harmful,polite_multi_turn,mean_first_8_token_logprob,10,-0.2870288114,0.1048518520,-0.3477089607,-0.2242482110
harmful,polite_multi_turn,mean_first_16_token_logprob,10,-0.2650081145,0.0965760216,-0.3212218260,-0.2086780570
harmful,polite_multi_turn,mean_first_32_token_logprob,10,-0.2902556083,0.0750384550,-0.3338664468,-0.2455958065
harmful,polite_multi_turn,mean_token_entropy,10,0.3998039011,0.1879116927,0.2897878195,0.5087065508
harmful,polite_multi_turn,mean_top1_top2_probability_margin,10,0.8026848538,0.0887683849,0.7502755897,0.8550162829
benign,direct,mean_token_logprob,10,-0.3921043615,0.0540273441,-0.4228819779,-0.3596074107
benign,direct,geometric_mean_token_probability,10,0.6765248588,0.0367606372,0.6554389423,0.6978420102
benign,direct,perplexity,10,1.4820299137,0.0796207198,1.4339062000,1.5285886389
benign,direct,mean_first_8_token_logprob,10,-0.3629381077,0.2931373625,-0.5582365333,-0.2149577033
benign,direct,mean_first_16_token_logprob,10,-0.3198734880,0.1362900778,-0.4052947892,-0.2439929041
benign,direct,mean_first_32_token_logprob,10,-0.3631825534,0.1015059271,-0.4248163160,-0.3044736051
benign,direct,mean_token_entropy,10,0.7632213340,0.1143933433,0.6999225879,0.8342030734
benign,direct,mean_top1_top2_probability_margin,10,0.6453128376,0.0337352553,0.6263728356,0.6661750839
benign,polite,mean_token_logprob,10,-0.4087533579,0.0366404755,-0.4320350700,-0.3886284659
benign,polite,geometric_mean_token_probability,10,0.6648754552,0.0239852502,0.6498723253,0.6782003455
benign,polite,perplexity,10,1.5058595405,0.0560612993,1.4756002942,1.5410395076
benign,polite,mean_first_8_token_logprob,10,-0.3075053234,0.1876120968,-0.4262944524,-0.2072678153
benign,polite,mean_first_16_token_logprob,10,-0.2997640194,0.1047015115,-0.3589616893,-0.2394314774
benign,polite,mean_first_32_token_logprob,10,-0.3657855407,0.0778219682,-0.4115773893,-0.3204015265
benign,polite,mean_token_entropy,10,0.7759191246,0.1045260327,0.7196870526,0.8413040153
benign,polite,mean_top1_top2_probability_margin,10,0.6396439613,0.0219429804,0.6263647514,0.6514503851
benign,multi_turn,mean_token_logprob,10,-0.1763121492,0.1014303357,-0.2366159659,-0.1176550738
benign,multi_turn,geometric_mean_token_probability,10,0.8422331908,0.0850872254,0.7929037409,0.8920998217
benign,multi_turn,perplexity,10,1.1983581314,0.1221107916,1.1276327820,1.2717411731
benign,multi_turn,mean_first_8_token_logprob,10,-0.1291582565,0.1197869103,-0.2011187311,-0.0637054098
benign,multi_turn,mean_first_16_token_logprob,10,-0.1369647558,0.1143097368,-0.2104539373,-0.0770204103
benign,multi_turn,mean_first_32_token_logprob,10,-0.1480928312,0.1101395000,-0.2136118869,-0.0838498159
benign,multi_turn,mean_token_entropy,10,0.3506405081,0.2153575492,0.2293109001,0.4787793351
