subset,condition,metric,n,mean,median,ci_low,ci_high
all,direct,mean_token_logprob,20,-0.3876086230,-0.3841389768,-0.4126006478,-0.3622192898
all,direct,geometric_mean_token_probability,20,0.6798179471,0.6810768352,0.6631058574,0.6978765865
all,direct,perplexity,20,1.4759054787,1.4684358716,1.4389933556,1.5121321369
all,direct,mean_first_8_token_logprob,20,-0.2671200246,-0.2025551763,-0.3855792658,-0.1739273428
all,direct,mean_first_16_token_logprob,20,-0.3067461736,-0.3111384208,-0.3618153702,-0.2524855763
all,direct,mean_first_32_token_logprob,20,-0.3388392661,-0.3314413540,-0.3825412361,-0.2957914099
all,direct,mean_token_entropy,20,0.7488111580,0.7295534560,0.6972907051,0.8004660911
all,direct,mean_top1_top2_probability_margin,20,0.6426293273,0.6425443400,0.6243644782,0.6609231949
all,polite,mean_token_logprob,20,-0.3868649332,-0.3909770567,-0.4052136354,-0.3688236694
all,polite,geometric_mean_token_probability,20,0.6797683848,0.6763976332,0.6673397891,0.6922286613
all,polite,perplexity,20,1.4736303313,1.4784288740,1.4472238221,1.5006569434
all,polite,mean_first_8_token_logprob,20,-0.2453116479,-0.2371588368,-0.3218804653,-0.1761988147
all,polite,mean_first_16_token_logprob,20,-0.2821177113,-0.3019805754,-0.3325961737,-0.2334312495
all,polite,mean_first_32_token_logprob,20,-0.3350016141,-0.3362273766,-0.3763143411,-0.2929146786
all,polite,mean_token_entropy,20,0.7492771761,0.7547550402,0.7120340907,0.7904347343
all,polite,mean_top1_top2_probability_margin,20,0.6421554525,0.6447481427,0.6286592907,0.6563817826
all,multi_turn,mean_token_logprob,20,-0.1906682470,-0.1799394739,-0.2346494480,-0.1494076487
all,multi_turn,geometric_mean_token_probability,20,0.8301576581,0.8354103439,0.7963213698,0.8640015156
all,multi_turn,perplexity,20,1.2157133076,1.1972732777,1.1653951349,1.2692569918
all,multi_turn,mean_first_8_token_logprob,20,-0.1947487245,-0.2201106221,-0.2473303266,-0.1410741273
all,multi_turn,mean_first_16_token_logprob,20,-0.1872512072,-0.1713430619,-0.2338028035,-0.1408345535
all,multi_turn,mean_first_32_token_logprob,20,-0.2096567571,-0.2308402283,-0.2580880690,-0.1608908323
all,multi_turn,mean_token_entropy,20,0.3836003754,0.3566990951,0.2984696643,0.4731115254
all,multi_turn,mean_top1_top2_probability_margin,20,0.8093238769,0.8111034894,0.7717996668,0.8475129192
